,APINumber,WellName,CountyName,OperatorName,StateName,TotalBaseNonWaterVolume
7618,35137272820001,Woodworth W-40,Stephens,"Banner Oil & Gas, LLC",Oklahoma,421434.0
7619,37015220120000,Harvey (05-073-02),Bradford,Talisman Energy USA Inc.,Pennsylvania,4000.0
7620,42003464840000,University 38 #11,Andrews,SandRidge Energy,Texas,67282.0
7621,42103341880000,Crier-McElroy 404,Crane,Chevron USA Inc.,Texas,4277.0
7622,42135389630000,PARKER MINERALS LTD ET AL 48 05,Ector,"Sheridan Production Company, LLC",Texas,49361.0
7623,42227378280000,Guthrie West 2431,Howard,Three Rivers Operating Co II LLC,Texas,65993.0
7624,42295341740000,Carolea 594  2H,Lipscomb,Apache Corporation,Texas,3000.0
7625,42461331850000,Crier-McElroy 377,Upton,Chevron USA Inc.,Texas,5561.0
7626,42479428000000,PGE BROWNE H 3H,Webb,"Chesapeake Operating, Inc.",Texas,470727.0
7627,42479428560000,PGE DOS E UNIT CC 1H,Webb,"Chesapeake Operating, Inc.",Texas,461594.0
7628,42479428590000,PGE DOS C UNIT CC 1H,Webb,"Chesapeake Operating, Inc.",Texas,469012.0
7629,47051016920000,MARK EDISON MSH 8H,Marshall,"Chesapeake Operating, Inc.",West Virginia,698286.0
7630,49037292600000,Sourdough 35-60D,Sweetwater,BP America Production Company,Wyoming,1766.0
7631,49037292610000,Sourdough 35-20D,Sweetwater,BP America Production Company,Wyoming,2043.0
7632,49037292620000,Sourdough 35-30D,Sweetwater,BP America Production Company,Wyoming,1518.0
7633,42329394390000,RV Powell 28,Midland,Athlon Energy Operating LLC,Texas,538875.6658
7634,42135431370000,Goldsmith Andector Unit L132,Ector,ConocoPhillips Company/Burlington Resources,Texas,12230.0
7635,42165381100000,RCFU 540,Gaines,XTO Energy/ExxonMobil,Texas,27715.0
7636,35151241060000,Frank 2613  4H-24A,Woods,Midstates Petroleum Company,Oklahoma,117695.0
7638,33025025000000,WILLIAM SADOWSKY 2-9-4H-142-96,Dunn,Occidental Oil and Gas,North Dakota,105621.0
7639,34067212970000,YODER NORTH 33-12-5 1H,Harrison,"Chesapeake Operating, Inc.",Ohio,721990.0
7640,35003230240000,DWIGHT WESSELS 13-27-11 1H,Alfalfa,"Chesapeake Operating, Inc.",Oklahoma,35476.0
7641,35063244640000,Docelia 1-15H,Hughes,PetroQuest Energy LLC,Oklahoma,30954.0
7642,37115216030000,ODOWD N SUS 3H,Susquehanna,"Chesapeake Operating, Inc.",Pennsylvania,544068.0
